Rk,Att,Live-Pass,Dead-Pass,FK-Pass,TB-Pass,Sw-Pass,Crs-Pass,TI-Pass,CK-Pass,In-Corn,Out-Corn,Str-Corn,Cmp-Outc,Off-Outc,Blocks-Outc
178,14,13,1,0,0,0,0,0,0,0,0,0,7,0,0
179,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0
180,150,143,7,2,0,0,6,5,0,0,0,0,138,0,2
181,11,9,2,0,0,0,1,1,0,0,0,0,7,0,0
182,260,248,12,1,1,1,8,0,0,0,0,0,187,0,6
183,65,62,0,0,0,1,3,0,0,0,0,0,45,3,2
184,1013,794,217,20,0,5,51,197,0,0,0,0,765,2,23
185,819,794,25,25,0,4,0,0,0,0,0,0,753,0,3
186,1796,1331,460,33,1,7,111,426,1,1,0,0,1350,5,48
187,272,234,37,6,0,0,18,31,0,0,0,0,230,1,4
188,9,9,0,0,1,0,0,0,0,0,0,0,4,0,1
189,183,138,45,3,0,0,10,42,0,0,0,0,140,0,6
190,1148,1003,139,33,3,4,115,37,69,27,33,0,866,6,37
191,108,89,19,0,1,0,3,1,0,0,0,0,88,0,3
192,733,700,26,4,4,6,68,14,6,1,1,0,537,7,21
193,469,425,42,34,0,0,1,0,0,0,0,0,333,2,7
194,31,29,1,0,0,1,1,0,0,0,0,0,18,1,1
195,308,305,3,1,0,0,8,2,0,0,0,0,257,0,3
196,1107,1081,17,5,2,4,13,6,0,0,0,0,876,9,37
197,11,10,1,0,0,0,0,0,0,0,0,0,7,0,0
198,42,41,1,1,0,0,0,0,0,0,0,0,32,0,0
199,22,22,0,0,0,0,0,0,0,0,0,0,8,0,0
200,81,80,1,0,0,0,4,0,0,0,0,0,57,0,5
201,1878,1578,297,30,0,4,87,267,0,0,0,0,1508,3,39
202,749,639,103,32,9,15,87,15,52,17,21,0,529,7,19
203,49,30,18,5,0,0,0,0,0,0,0,0,33,1,0
204,886,845,36,34,2,15,7,2,0,0,0,0,761,5,12
205,1876,1836,31,17,11,15,66,14,0,0,0,0,1554,9,44
206,374,355,16,3,1,4,55,11,2,0,0,0,249,3,14
207,128,121,7,0,1,0,7,0,7,0,6,0,106,0,4
208,70,59,11,0,0,2,2,9,2,1,1,0,52,0,0
209,198,191,1,0,1,1,2,0,0,0,0,0,122,6,6
210,756,747,7,0,7,2,45,5,0,0,0,0,550,2,24
211,542,421,121,36,0,6,33,81,4,1,2,0,423,0,5
212,536,525,6,5,2,1,8,1,0,0,0,0,375,5,18
213,184,184,0,0,1,1,8,0,0,0,0,0,129,0,11
214,783,574,209,23,0,3,54,169,17,7,2,0,541,0,33
215,923,821,99,26,7,15,112,10,59,40,5,0,698,3,15
216,111,90,20,3,0,0,7,17,0,0,0,0,85,1,5
217,1131,1089,34,32,2,23,0,2,0,0,0,0,926,8,5
218,89,82,7,3,0,0,5,0,2,0,2,0,64,0,1
219,151,131,20,9,1,0,17,1,10,7,3,0,110,0,3
220,451,436,14,6,0,1,15,0,0,0,0,0,386,1,5
221,95,84,11,2,1,0,18,0,9,5,3,0,67,0,2
222,117,99,18,8,0,1,16,1,9,4,3,0,85,0,4
223,53,52,1,0,0,0,0,0,0,0,0,0,41,0,2
224,1810,1684,120,58,2,29,29,30,2,0,0,0,1599,6,25
225,1224,1015,201,55,8,13,113,108,38,14,20,0,876,8,37
226,61,60,1,0,0,1,0,0,0,0,0,0,45,0,3
227,515,483,29,27,0,3,1,1,0,0,0,0,427,3,9
228,897,849,45,42,0,3,1,2,0,0,0,0,723,3,8
229,1523,1232,286,70,0,2,0,0,0,0,0,0,1225,5,2
230,1205,1134,66,57,0,10,10,4,0,0,0,0,950,5,8
231,70,68,2,1,0,0,1,0,0,0,0,0,62,0,0
232,729,695,32,6,4,4,35,23,2,1,0,0,514,2,18
233,7,5,2,0,0,0,0,0,0,0,0,0,6,0,0
234,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
235,51,48,3,0,0,0,10,3,0,0,0,0,30,0,6
236,332,289,42,17,2,5,87,4,20,11,7,0,208,1,14
237,629,561,65,1,0,1,49,58,0,0,0,0,431,3,31
238,1428,1270,157,49,1,3,17,105,0,0,0,0,1117,1,16
239,514,435,78,6,0,0,10,72,0,0,0,0,393,1,9
240,605,597,6,1,3,2,123,2,1,0,0,0,374,2,28
241,1490,1399,90,45,0,6,1,43,0,0,0,0,1201,1,5
242,34,33,0,0,1,0,0,0,0,0,0,0,26,1,2
243,250,240,9,1,1,1,6,1,1,1,0,0,206,1,4
244,85,46,39,8,0,0,0,0,0,0,0,0,39,0,1
245,66,63,3,1,1,0,2,2,0,0,0,0,44,0,3
246,195,194,0,0,0,0,2,0,0,0,0,0,125,1,3
247,390,327,60,19,4,4,50,10,31,21,6,0,271,3,14
248,575,329,245,63,0,0,0,0,0,0,0,0,367,1,1
249,471,432,36,1,1,0,12,2,0,0,0,0,327,3,16
250,986,949,35,17,0,9,11,6,0,0,0,0,826,2,17
251,1545,1495,45,39,0,4,16,6,0,0,0,0,1180,5,21
252,739,719,18,10,0,9,2,8,0,0,0,0,565,2,4
253,933,837,95,4,0,6,96,91,0,0,0,0,667,1,29
254,268,257,11,0,2,1,25,8,3,0,2,0,200,0,10
255,1073,1021,46,20,5,7,54,1,25,13,8,0,876,6,22
256,1048,845,200,18,1,4,42,182,0,0,0,0,804,3,27
257,1517,1475,33,23,12,18,14,9,1,0,0,0,1256,9,25
258,171,134,37,0,1,0,11,35,2,0,2,0,130,0,0
259,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
260,369,341,25,2,2,4,13,1,0,0,0,0,252,3,17
261,1893,1821,70,54,1,31,17,2,6,0,4,0,1716,2,16
262,153,134,18,3,1,0,7,1,6,0,6,0,132,1,1
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,688,630,54,2,8,1,14,2,0,0,0,0,496,4,12
265,133,116,17,4,0,3,4,12,0,0,0,0,108,0,4
266,174,161,13,1,1,1,13,9,1,0,1,0,117,0,10
267,112,102,9,0,0,4,6,1,0,0,0,0,72,1,2
268,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0
269,187,160,25,14,0,0,15,1,10,6,1,0,138,2,1
270,1036,702,332,72,0,2,0,0,0,0,0,0,777,2,0
271,29,27,0,0,0,0,4,0,0,0,0,0,19,2,1
272,52,46,6,1,0,0,0,5,0,0,0,0,42,0,0
273,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
274,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
275,1102,1037,61,41,4,12,24,5,15,4,5,0,950,4,9
276,25,23,2,0,0,0,2,2,0,0,0,0,17,0,1
277,841,813,27,4,5,5,74,4,1,0,0,0,632,1,27
278,1288,1148,132,30,2,5,15,99,1,0,0,0,1046,8,26
279,913,886,26,23,1,3,3,3,0,0,0,0,755,1,11
280,1019,1002,17,14,5,8,9,3,0,0,0,0,912,0,14
281,758,746,11,10,2,2,4,1,0,0,0,0,659,1,11
282,305,279,23,1,2,1,0,4,0,0,0,0,196,3,3
283,1245,1175,57,4,6,10,10,2,8,0,0,0,1043,13,30
284,30,21,9,2,0,0,0,0,0,0,0,0,13,0,0
285,1402,1284,115,43,15,37,102,13,59,39,3,1,996,3,51
286,634,509,120,17,0,8,33,103,0,0,0,0,487,5,12
287,877,760,108,26,7,6,145,6,73,20,29,0,548,9,41
288,1606,1322,279,45,0,7,60,233,1,0,0,0,1251,5,43
289,341,336,2,0,2,2,44,1,1,1,0,0,209,3,17
290,218,215,3,2,0,3,2,1,0,0,0,0,179,0,1
291,225,185,36,10,1,0,49,1,19,7,11,0,139,4,8
292,177,171,6,1,1,0,8,4,1,1,0,0,144,0,3
293,319,211,107,29,0,0,0,0,0,0,0,0,176,1,0
294,188,153,33,9,0,4,27,0,20,7,9,0,126,2,2
295,592,537,52,14,4,11,51,12,26,7,9,1,452,3,17
296,340,212,127,29,0,2,0,0,0,0,0,0,267,1,0
297,581,384,195,59,0,0,0,0,0,0,0,0,330,2,0
298,681,619,61,7,1,0,12,54,0,0,0,0,628,1,3
299,313,213,99,13,0,0,0,0,0,0,0,0,223,1,0
300,1427,1268,158,77,3,17,133,4,77,36,27,0,1158,1,16
301,11,11,0,0,0,0,0,0,0,0,0,0,6,0,1
302,191,142,49,5,0,0,12,34,10,4,4,1,151,0,7
303,479,453,24,12,0,2,17,3,8,3,4,0,383,2,11
304,362,331,29,0,1,5,2,3,0,0,0,0,247,2,5
305,937,900,36,17,0,5,8,19,0,0,0,0,823,1,6
306,42,42,0,0,0,0,0,0,0,0,0,0,23,0,2
307,1279,1106,169,28,2,16,87,141,0,0,0,0,939,4,25
308,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
309,13,13,0,0,0,0,0,0,0,0,0,0,10,0,1
310,933,888,40,39,1,10,2,1,0,0,0,0,806,5,3
311,330,316,12,0,0,2,4,0,0,0,0,0,242,2,5
312,490,478,11,10,0,4,1,1,0,0,0,0,417,1,4
313,338,317,19,18,0,0,1,0,0,0,0,0,271,2,3
314,2600,2017,575,130,0,34,278,324,121,18,82,0,2080,8,55
315,449,394,53,19,0,3,14,24,0,0,0,0,322,2,7
316,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0
317,1193,1172,19,17,3,3,2,2,0,0,0,0,1061,2,15
318,10,8,2,0,0,0,0,2,0,0,0,0,9,0,0
319,1207,770,435,107,0,0,0,0,0,0,0,0,851,2,0
320,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
321,20,20,0,0,0,0,0,0,0,0,0,0,18,0,0
322,1056,974,75,20,3,22,37,12,1,0,0,0,833,7,29
323,181,154,26,11,0,3,31,4,11,6,5,0,112,1,5
324,167,149,18,0,0,0,0,0,1,0,0,0,128,0,5
325,1135,1095,39,35,2,4,5,2,0,0,0,0,991,1,2
326,335,309,24,16,2,8,5,2,0,0,0,0,256,2,4
327,17,16,1,0,0,0,2,0,1,0,1,0,12,0,0
328,340,278,61,4,0,1,27,57,0,0,0,0,236,1,13
329,937,855,71,42,4,10,50,5,24,14,9,0,695,11,14
330,419,390,28,4,2,2,24,8,16,9,4,0,333,1,11
331,266,263,2,0,1,0,7,1,1,0,0,0,216,1,7
332,134,120,13,6,0,0,1,7,0,0,0,0,93,1,2
333,294,261,33,22,0,2,20,0,11,0,11,0,231,0,5
334,396,349,45,12,1,1,46,4,29,10,14,0,286,2,12
335,20,17,3,2,0,0,2,0,1,1,0,0,16,0,0
336,558,548,9,8,0,1,0,1,0,0,0,0,468,1,4
337,1206,1153,47,21,7,14,36,4,17,0,12,0,999,6,18
338,547,475,70,6,1,19,23,2,11,6,4,0,407,2,19
339,8,8,0,0,0,0,1,0,0,0,0,0,4,0,2
340,696,662,34,27,2,6,3,5,0,0,0,0,564,0,5
341,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
342,1317,1199,108,80,2,24,3,2,0,0,0,0,1136,10,5
343,1177,1136,36,31,0,4,0,3,0,0,0,0,1007,5,2
344,694,644,48,1,4,1,20,7,1,0,0,0,489,2,31
345,1525,1464,57,52,0,22,0,4,0,0,0,0,1340,4,11
346,795,717,76,12,3,32,67,38,20,10,6,1,539,2,17
347,665,656,7,2,0,2,49,4,1,0,0,0,499,2,23
348,1586,1418,162,102,10,18,106,1,44,29,10,1,1233,6,24
349,1016,865,147,47,13,11,108,8,83,25,30,2,746,4,25
350,760,659,89,23,5,16,71,21,37,8,24,0,505,12,23
351,1072,772,298,57,0,2,0,0,0,0,0,0,819,2,1
352,72,64,8,5,0,2,1,3,0,0,0,0,61,0,0
353,110,94,15,13,0,0,3,0,2,2,0,0,91,1,2
354,1942,1665,269,56,10,25,294,42,171,47,104,0,1374,8,43
355,7,5,2,0,0,0,0,2,0,0,0,0,4,0,0
356,35,33,2,2,0,1,2,0,0,0,0,0,29,0,0
357,863,748,110,18,3,11,141,3,85,75,1,1,574,5,30
358,805,784,19,19,0,2,0,0,0,0,0,0,675,2,4
359,426,388,34,0,1,5,7,1,0,0,0,0,306,4,15
360,297,241,55,14,0,1,21,38,3,2,1,0,220,1,5
361,181,151,29,7,0,0,45,8,14,6,7,0,126,1,3
362,95,83,10,0,1,1,11,10,0,0,0,0,66,2,6
363,56,54,2,1,0,1,2,0,0,0,0,0,44,0,1
364,1324,1202,117,17,7,5,128,11,89,38,40,0,1022,5,22
365,117,108,9,7,0,0,0,2,0,0,0,0,89,0,1
366,910,860,45,1,1,2,27,5,0,0,0,0,676,5,35
367,1273,1183,90,39,0,25,17,51,0,0,0,0,1012,0,12
368,507,330,174,75,0,5,0,0,0,0,0,0,332,3,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,129,89,40,3,0,0,0,0,0,0,0,0,116,0,0
371,1166,1043,112,40,7,8,135,13,52,19,21,0,835,11,34
372,17,17,0,0,0,1,2,0,0,0,0,0,12,0,1
373,1434,1400,30,26,0,2,1,1,0,0,0,0,1166,4,10
374,77,72,5,1,0,0,2,0,1,1,0,0,64,0,3
375,127,127,0,0,0,2,0,0,0,0,0,0,95,0,2
376,32,31,1,0,0,0,1,0,0,0,0,0,28,0,0
377,404,402,2,0,1,1,8,0,0,0,0,0,243,0,13
378,1185,1090,92,64,4,11,12,28,0,0,0,0,955,3,12
379,1736,1654,77,67,1,34,4,9,0,0,0,0,1443,5,13
380,243,174,69,5,0,0,23,58,6,3,2,0,160,0,5
381,1196,1114,70,22,1,10,53,6,22,20,2,0,891,12,22
382,2608,2484,121,108,6,36,23,7,5,3,2,0,2401,3,16
383,1126,838,284,22,1,4,70,251,11,3,3,0,731,4,23
384,21,21,0,0,0,1,0,0,0,0,0,0,21,0,0
385,286,273,12,1,2,1,10,9,1,1,0,0,207,1,10
386,64,62,2,0,0,0,6,2,0,0,0,0,50,0,3
387,244,212,30,7,3,1,44,7,16,9,4,0,156,2,2
388,358,335,18,0,2,1,7,3,0,0,0,0,204,5,10
389,902,834,63,18,21,3,34,12,17,8,4,1,711,5,19
390,299,293,5,0,1,0,15,4,1,0,0,0,220,1,8
391,15,15,0,0,1,0,0,0,0,0,0,0,5,0,1
392,559,539,18,15,1,3,6,3,0,0,0,0,451,2,7
393,560,399,157,42,0,0,0,0,0,0,0,0,334,4,0
394,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
395,602,563,34,0,0,4,35,3,0,0,0,0,399,5,30
396,23,20,3,0,0,0,0,0,0,0,0,0,16,0,0
397,587,582,5,2,0,4,0,3,0,0,0,0,459,0,5
398,645,629,14,8,0,3,1,6,0,0,0,0,523,2,4
399,709,568,137,12,1,12,30,125,0,0,0,0,548,4,15
400,896,841,50,25,2,11,38,4,19,7,11,0,733,5,21
401,124,120,4,4,0,0,1,0,0,0,0,0,110,0,1
402,2793,2676,99,95,13,18,3,3,0,0,0,0,2430,18,21
403,287,193,94,28,0,0,0,0,0,0,0,0,214,0,0
404,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,24,16,8,1,0,0,0,0,0,0,0,0,21,0,0
406,43,40,2,1,2,0,0,1,0,0,0,0,29,1,0
407,515,441,73,9,0,2,9,64,0,0,0,0,393,1,9
408,173,165,8,5,0,2,1,3,0,0,0,0,115,0,2
409,60,41,19,6,0,0,0,0,0,0,0,0,37,0,0
410,211,204,7,2,1,2,8,2,3,2,1,0,175,0,2
411,1381,1150,229,11,3,21,69,215,3,0,1,0,1081,2,26
412,37,36,1,1,0,0,2,0,0,0,0,0,31,0,1
413,1934,1715,204,106,2,32,13,77,0,0,0,0,1458,15,16
414,234,188,45,5,0,1,11,40,0,0,0,0,193,1,4
415,452,375,74,11,0,11,12,63,0,0,0,0,311,3,6
416,353,339,14,9,0,14,4,5,0,0,0,0,287,0,6
417,1627,1396,223,18,1,39,97,200,5,0,5,0,1260,8,25
418,84,68,16,5,0,0,19,0,9,3,5,0,44,0,0
419,251,242,8,8,0,1,2,0,0,0,0,0,214,1,4
420,75,71,4,0,1,0,0,0,0,0,0,0,51,0,1
421,8,8,0,0,0,0,0,0,0,0,0,0,3,0,1
422,275,274,0,0,1,0,0,0,0,0,0,0,225,1,3
